"","evap_factor","sal","pH_out","pCO2_out","DIC_out","Alk_out","Omega_arag_out","Na_out","Ca_out","Mg_out","K_out","Cl_out","SO4_out"
"1",1,37,8.19103254360026,0.000277014888169428,2.04,2.38,5.27072465652837,498,10,56,14,599,30.54
"2",0.995,37.1859296482412,8.1896581370362,0.000279003788126863,2.0502512125501,2.39195974797503,5.29873958679423,500.502501887211,10.0502510419132,56.1067480261209,14.0703514586768,602.010037410525,30.6934649995798
"3",0.99,37.3737373737374,8.18827523702462,0.000281019321913444,2.06060597225478,2.40404030096366,5.32703581894192,503.030281462156,10.1010096679185,56.3900641108085,14.141413535081,605.050479108103,30.8484818351872
"4",0.985,37.5634517766497,8.18688375027215,0.000283062004690302,2.07106585596738,2.41624349862826,5.35561765867154,505.583723662562,10.1522836076892,56.6762561612684,14.2131970507552,608.12178810016,31.005072438942
"5",0.98,37.7551020408163,8.18548358195081,0.000285132364634483,2.08163247272139,2.42857121817499,5.38448950137982,508.163221281982,10.204080748636,56.9653681891967,14.2857130480879,611.224436843187,31.1632608990317
"6",0.975,37.9487179487179,8.18407463566316,0.000287230943344974,2.09230746455703,2.4410253753164,5.41365583443218,510.769175171266,10.2564091399876,57.2574451089382,14.3589727959794,614.358907485116,31.3230717977464
"7",0.97,38.1443298969072,8.18265681341265,0.000289358296259307,2.10309250736966,2.45360792526457,5.44312123964111,513.401994446124,10.3092769969101,57.552532760587,14.4329877956742,617.525692114916,31.4845302242228
"8",0.965,38.3419689119171,8.1812300155631,0.000291514993093704,2.11398931178929,2.46632086375421,5.47289039575189,516.062096701495,10.3626927048526,57.8506779341459,14.507769786789,620.725293020471,31.6476617876207
"9",0.96,38.5416666666667,8.1797941408041,0.000293701618294702,2.12499962408255,2.47916622809617,5.50296808108814,518.749908231906,10.4166648239377,58.1519283940277,14.5833307535074,623.958222953636,31.8124926305529
"10",0.955,38.7434554973822,8.17834908611369,0.000295918771508338,2.13612522708779,2.49214609826905,5.53335917623697,521.465864259657,10.4712020935718,58.4563329047659,14.6596829309944,627.225005404685,31.979049443165
"11",0.95,38.9473684210526,8.17689474671733,0.000298167068069872,2.14736794117645,2.50526259803917,5.5640686668195,524.210409169534,10.5263134371442,58.763941257219,14.7368388119949,630.526174884638,32.1473594774864
"12",0.945,39.1534391534392,8.17543101604964,0.000300447139508849,2.15872962524615,2.51851789612045,5.59510164638526,526.983996751252,10.5820079668981,59.0748042957342,14.8148111536497,633.862277216864,32.3174505623061
"13",0.94,39.3617021276596,8.17395778571271,0.000302759634075475,2.17021217774533,2.53191420736959,5.62646331937963,529.787090449579,10.6382949889534,59.3889739461555,14.8936129845263,637.233869837944,32.4893511185126
"14",0.935,39.572192513369,8.1724749454329,0.000305105217287552,2.18181753773077,2.54545379401908,5.65815900420739,532.620163622495,10.6951840084905,59.7065032447321,14.9732576118774,640.641522108178,32.6630901749246
"15",0.93,39.7849462365591,8.17098238301906,0.000307484572496493,2.19354768595922,2.55913896695234,5.69019413643028,535.483699807676,10.7526847351011,60.0274463679558,15.0537586291315,644.085815632119,32.8386973846342
"16",0.925,40,8.16947998431507,0.000309898401479142,2.2054046460144,2.57297208701654,5.72257427202208,538.378192997613,10.8108070883133,60.3518586633694,15.1351299236277,647.567344589494,33.0162030418777
"17",0.92,40.2173913043478,8.16796763315633,0.000312347425048474,2.21739048547074,2.58695556638245,5.75530509079575,541.304147923718,10.869561203296,60.6797966813755,15.2173856846025,651.086716076917,33.195638099459
"18",0.915,40.4371584699454,8.16644521131929,0.000314832383693118,2.22950731709537,2.6010918699446,5.78839239988448,544.26208034973,10.9289574367507,61.0113182080917,15.3005404114382,654.644550460814,33.377034186743
"19",0.91,40.6593406593407,8.16491259847439,0.000317354038238307,2.24175730008963,2.61538351677127,5.82184213739813,547.252517374799,10.9890063729977,61.3464822992845,15.3846089221831,658.241481741971,33.5604236282418
"20",0.905,40.8839779005525,8.16336967213497,0.000319913170535494,2.25414264137181,2.62983308160055,5.85566037617734,550.275997746622,11.0497188302639,61.6853493154309,15.4696063623548,661.878157932175,33.7458394628181
"21",0.9,41.1111111111111,8.16181630760439,0.000322510584179906,2.26666559690255,2.64444319638617,5.88985332767673,553.333072185006,11.11110586718,62.0279809579465,15.5555482140363,665.555241443404,33.9333154635279
"22",0.895,41.340782122905,8.16025237792488,0.00032514710525453,2.27932847305389,2.65921655189625,5.92442734600984,556.424303716099,11.1731787894799,62.3744403065394,15.6424503052719,669.273409489847,34.1228861580807
"23",0.89,41.5730337078652,8.1586777538173,0.000327823583110574,2.2921336280289,2.67415589936715,5.95938893211161,559.550268018821,11.2359491570044,62.7247918582597,15.7303288198062,673.033354504566,34.3145868502283
"24",0.885,41.8079096045198,8.15709230362906,0.000330540891171878,2.30508347332044,2.68926405220725,5.99474473804545,562.711553781166,11.2994287907865,63.0791015670056,15.8192003071011,676.835784568109,34.5084536414025
"25",0.88,42.0454545454545,8.15549589327243,0.000333299927779046,2.31818047522863,2.70454388776636,6.03050157148999,565.908763070518,11.3636297805325,63.4374368852356,15.9090816927455,680.681423853896,34.7045234535648
"26",0.875,42.2857142857143,8.15388838616623,0.000336101617064196,2.33142715642589,2.71999834916329,6.06666640039146,569.142511715733,11.4285644922838,63.7998668066829,15.9999902891973,684.571013087799,34.902834052603
"27",0.87,42.5287356321839,8.15226964316975,0.000338946909867685,2.34482609757684,2.73563044717287,6.10324635772625,572.41342970258,11.494245576357,64.1664619106284,16.0919438068998,688.505310023786,35.1034240725817
"28",0.865,42.7745664739884,8.15063952252052,0.000341836784688001,2.35837993901429,2.75144326218331,6.14024874650792,575.722161582901,11.5606859755603,64.5372944077061,16.1849603657843,692.485089936059,35.3063330408341
"29",0.86,43.0232558139535,8.14899787976711,0.000344772248674794,2.37209138247389,2.76743994621942,6.17768104494209,579.069366898038,11.6278989336956,64.9124381873073,16.2790585071738,696.511146128364,35.5116014039294
"30",0.855,43.2748538011696,8.14734456770073,0.000347754338663257,2.38596319288944,2.78362372503758,6.21555091178434,582.455720617126,11.69589800436,65.2919688666462,16.3742572061039,700.584290461161,35.7192705545503
"31",0.85,43.5294117647059,8.14567943628301,0.000350784122254515,2.39999820025163,2.79999790029338,6.25386619187768,585.88191359084,11.764697060057,65.6759638415574,16.4705758840798,704.705353897416,35.9293828593199
