"","evap_factor","sal","pH_out","pCO2_out","DIC_out","Alk_out","Omega_arag_out","Na_out","Ca_out","Mg_out","K_out","Cl_out","SO4_out"
"1",1,37,8.19103254360026,0.000277014888169428,2.04,2.38,5.27072465652837,498,10,56,14,599,30.54
"2",0.995,37.1859296482412,8.18965813701001,0.00027900378815807,2.05025121255007,2.39195974797492,5.29873958814104,500.502501887204,10.0502510419127,56.1067480260744,14.0703514586766,602.010037410517,30.693464999578
"3",0.99,37.3737373737374,8.18827523697204,0.000281019321976205,2.06060597225471,2.40404030096366,5.32703582167116,503.030281462141,10.1010096679173,56.3900641107143,14.1414135350806,605.050479108086,30.8484818351836
"4",0.985,37.5634517766497,8.18688375019238,0.000283062004785414,2.07106585596728,2.4162434986282,5.35561766281372,505.58372366254,10.1522836076874,56.6762561611254,14.2131970507546,608.121788100135,31.0050724389365
"5",0.98,37.7551020408163,8.18548358184361,0.000285132364766678,2.08163247272125,2.42857121817472,5.38448950697126,508.163221281953,10.2040807486336,56.9653681890037,14.2857130480871,611.224436843153,31.1632608990243
"6",0.975,37.9487179487179,8.18407463552802,0.000287230943512533,2.09230746455685,2.44102537531617,5.41365584150887,510.769175171229,10.2564091399845,57.2574451086939,14.3589727959783,614.358907485073,31.3230717977371
"7",0.97,38.1443298969072,8.18265681341263,0.000289358296259321,2.10309250736966,2.45360792526455,5.44312123964091,513.401994446124,10.3092769969101,57.552532760587,14.4329877956742,617.525692114916,31.4845302242228
"8",0.965,38.3419689119171,8.18123001537008,0.000291514993335424,2.11398931178904,2.46632086375382,5.47289040590451,516.062096701443,10.3626927048482,57.8506779337954,14.5077697867875,620.72529302041,31.6476617876073
"9",0.96,38.5416666666667,8.17979414058144,0.000293701618575033,2.12499962408226,2.47916622809579,5.50296809283665,518.749908231845,10.4166648239326,58.1519283936221,14.5833307535057,623.958222953565,31.8124926305374
"10",0.955,38.7434554973822,8.1783490858608,0.000295918771828425,2.13612522708746,2.49214609826867,5.53335918962016,521.465864259587,10.471202093566,58.4563329043038,14.6596829309924,627.225005404604,31.9790494431474
"11",0.95,38.9473684210526,8.17689474643335,0.0002981670684311,2.14736794117608,2.50526259803859,5.56406868187455,524.210409169456,10.5263134371377,58.7639412566991,14.7368388119927,630.526174884547,32.1473594774665
"12",0.945,39.1534391534392,8.1754310157343,0.000300447139912171,2.15872962524573,2.51851789611993,5.59510166315678,526.983996751165,10.5820079668909,59.0748042951549,14.8148111536472,633.862277216763,32.317450562284
"13",0.94,39.3617021276596,8.17395778536509,0.000302759634522383,2.17021217774487,2.53191420736888,5.62646333790629,529.787090449483,10.6382949889454,59.3889739455156,14.8936129845236,637.233869837832,32.4893511184881
"14",0.935,39.572192513369,8.17247494505272,0.000305105217779036,2.18181753773027,2.54545379401847,5.65815902453664,532.62016362239,10.6951840084817,59.7065032440298,14.9732576118744,640.641522108055,32.6630901748978
"15",0.93,39.7849462365591,8.17098238260557,0.000307484573033974,2.19354768595868,2.55913896695174,5.69019415860519,535.48369980756,10.7526847350916,60.0274463671897,15.0537586291282,644.085815631985,32.8386973846049
"16",0.925,40,8.16947998386757,0.000309898402064031,2.20540464601381,2.57297208701591,5.72257429608782,538.378192997488,10.810807088303,60.3518586625379,15.1351299236242,647.567344589348,33.0162030418459
"17",0.92,40.2173913043478,8.16796763267387,0.000312347425682408,2.2173904854701,2.58695556638159,5.75530511679612,541.304147923583,10.8695612032848,60.6797966804771,15.2173856845987,651.08671607676,33.1956380994247
"18",0.915,40.4371584699454,8.16644521080138,0.000314832384377387,2.22950731709468,2.60109186994367,5.78839242786994,544.262080349585,10.9289574367386,61.0113182071245,15.3005404114341,654.644550460645,33.3770341867061
"19",0.91,40.6593406593407,8.16491259792036,0.000317354038974406,2.24175730008891,2.61538351677029,5.82184216741831,547.252517374643,10.9890063729848,61.3464822982469,15.3846089221787,658.24148174179,33.5604236282022
"20",0.905,40.8839779005525,8.1633696715441,0.000319913171324962,2.25414264137102,2.62983308159952,5.85566040828326,550.275997746455,11.0497188302501,61.6853493143212,15.4696063623502,661.878157931981,33.7458394627757
"21",0.9,41.1111111111111,8.16181630697624,0.000322510585024101,2.26666559690171,2.64444319638534,5.88985336192386,553.333072184828,11.1111058671652,62.0279809567625,15.5555482140313,665.555241443197,33.9333154634827
"22",0.895,41.340782122905,8.16025237725764,0.000325147106155983,2.2793284730539,2.65921655189618,5.92442738245156,556.424303716099,11.1731787894799,62.3744403053669,15.6424503052719,669.273409489846,34.1228861580807
"23",0.89,41.5730337078652,8.15867775311072,0.000327823584070582,2.2921336280289,2.67415589936695,5.95938897079798,559.550268018821,11.2359491570044,62.7247918570149,15.7303288198062,673.033354504566,34.3145868502282
"24",0.885,41.8079096045198,8.15709230288266,0.000330540892191957,2.30508347332044,2.68926405220716,5.99474477903662,562.711553781166,11.2994287907865,63.0791015656864,15.8192003071011,676.835784568109,34.5084536414025
"25",0.88,42.0454545454545,8.15549589248564,0.000333299928860807,2.31818047522863,2.70454388776659,6.03050161484708,565.908763070518,11.3636297805325,63.43743688384,15.9090816927455,680.681423853896,34.7045234535648
"26",0.875,42.2857142857143,8.15388838533772,0.000336101618209989,2.33142715642589,2.71999834916344,6.06666644616846,569.142511715733,11.4285644922838,63.7998668052092,15.9999902891973,684.571013087799,34.902834052603
"27",0.87,42.5287356321839,8.1522696422986,0.000338946911079517,2.34482609757683,2.7356304471729,6.10324640598408,572.41342970258,11.494245576357,64.1664619090747,16.0919438068998,688.505310023786,35.1034240725816
"28",0.865,42.7745664739884,8.15063952160606,0.000341836785967735,2.35837993901429,2.75144326218338,6.14024879731211,575.7221615829,11.5606859755603,64.5372944060701,16.1849603657843,692.485089936059,35.3063330408341
"29",0.86,43.0232558139535,8.14899787880831,0.000344772250024641,2.37209138247389,2.76743994621944,6.17768109835625,579.069366898038,11.6278989336956,64.912438185587,16.2790585071738,696.511146128363,35.5116014039294
"30",0.855,43.2748538011696,8.14734456669677,0.000347754340085299,2.38596319288943,2.78362372503762,6.21555096787651,582.455720617125,11.69589800436,65.2919688648394,16.3742572061039,700.584290461161,35.7192705545503
"31",0.85,43.5294117647059,8.14567943523293,0.000350784123751027,2.39999820025163,2.79999790029343,6.2538662507164,585.881913590839,11.764697060057,65.6759638396617,16.4705758840798,704.705353897415,35.9293828593199
"32",0.845,43.7869822485207,8.14400233147684,0.000353862700513717,2.41419930153292,2.81656585178844,6.29263498358426,589.348653021269,11.8343103016319,66.0645023371087,16.5680344222847,708.875187067752,36.1419816876167
"33",0.84,44.0476190476191,8.14231309950912,0.000356991202932865,2.42856946268085,2.83333103979419,6.33186540100321,592.856662948561,11.9047522680434,66.4576654699318,16.6666531752608,713.0946608558,36.3571114414179
